Keuwl Accelerometer Data File
2023-11-03 01:40:50

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.129287,2.566584,9.241618,9.592267,15.539786,87.116272
0.0050049,0.062249,2.533065,9.186552,9.529588,15.419906,88.592262
0.0099794,-0.035913,2.466028,9.265560,9.588180,14.905274,90.834343
0.0149843,-0.110133,2.458845,9.442732,9.758240,14.609465,92.564598
0.0199892,-0.272939,2.477999,9.619903,9.937681,14.528522,96.285500
0.0249941,-0.363919,2.554613,9.720459,10.057127,14.866909,98.107552
0.0299990,-0.478840,2.578555,9.753978,10.100411,15.049681,100.520050
0.0350037,-0.531513,2.597709,9.713276,10.068681,15.268586,101.563583
0.0399782,-0.507571,2.533065,9.639056,9.979251,15.003552,101.330757
0.0449831,-0.435745,2.482787,9.550470,9.877529,14.785365,99.954391
0.0499879,-0.371101,2.442086,9.471462,9.788263,14.616937,98.640610
0.0549928,-0.328006,2.415750,9.433155,9.743093,14.490532,97.732224
0.0599978,-0.272939,2.432509,9.392453,9.706172,14.606986,96.402077
0.0650027,-0.229843,2.451663,9.390059,9.707559,14.694159,95.355827
0.0700076,-0.196325,2.446874,9.392453,9.707931,14.646760,94.587288
0.0749818,-0.201113,2.470816,9.390059,9.711776,14.788736,94.653351
0.0799868,-0.222661,2.480393,9.442732,9.765609,14.774414,95.129601
0.0849916,-0.258574,2.487576,9.485827,9.809985,14.770142,95.934364
0.0899965,-0.282516,2.494758,9.528923,9.854136,14.760949,96.460869
0.0950015,-0.332794,2.513912,9.538500,9.869827,14.887925,97.541023
0.1000061,-0.363919,2.528277,9.540894,9.876905,14.987991,98.190865
0.1049805,-0.392649,2.566584,9.516952,9.864780,15.260232,98.697960
0.1099855,-0.421380,2.540248,9.466674,9.810623,15.216457,99.418533
0.1149904,-0.438139,2.549825,9.397242,9.746882,15.392975,99.749977
0.1199953,-0.423774,2.552219,9.358934,9.709947,15.452804,99.427452
0.1250000,-0.416591,2.559402,9.306262,9.660776,15.569893,99.244896
0.1300049,-0.395043,2.547431,9.275137,9.626715,15.532454,98.814941
0.1349794,-0.363919,2.549825,9.277532,9.628428,15.515918,98.122574
0.1399843,-0.344765,2.557007,9.282320,9.634242,15.533985,97.678963
0.1449891,-0.304064,2.552219,9.325416,9.673141,15.409242,96.794022
0.1499941,-0.275333,2.521094,9.349358,9.687219,15.176708,96.232674
0.1549990,-0.227449,2.525883,9.385271,9.721889,15.121418,95.145462
0.1600039,-0.208296,2.497152,9.402030,9.730227,14.923546,94.768188
0.1649782,-0.213084,2.501941,9.445126,9.773204,14.887793,94.867989
0.1699831,-0.251391,2.518700,9.466674,9.799232,14.969651,95.699806
0.1749879,-0.306458,2.540248,9.473856,9.813293,15.113666,96.878967
0.1799928,-0.351948,2.533065,9.461885,9.801406,15.124743,97.910110
0.1849978,-0.378284,2.528277,9.466674,9.805774,15.111937,98.509537
0.1900027,-0.373495,2.504335,9.423578,9.757818,15.039656,98.482544
0.1950074,-0.337582,2.499547,9.385271,9.718282,15.042498,97.691681
0.1999818,-0.294487,2.504335,9.390059,9.722738,15.031493,96.706657
0.2049868,-0.275333,2.494758,9.409213,9.738219,14.935861,96.297943
0.2099917,-0.203507,2.497152,9.430760,9.757891,14.877873,94.659065
0.2149965,-0.184354,2.518700,9.464279,9.795428,14.940630,94.186241
0.2200014,-0.155623,2.525883,9.485827,9.817597,14.937716,93.525612
0.2250061,-0.150835,2.535460,9.504981,9.838494,14.961134,93.404518
0.2299806,-0.191536,2.540248,9.507375,9.842750,14.999805,94.311974
0.2349855,-0.232238,2.559402,9.490616,9.832409,15.151499,95.184761
0.2399904,-0.265756,2.540248,9.485827,9.823666,15.069804,95.972458
0.2449953,-0.311246,2.557007,9.459491,9.803934,15.232675,96.940063
0.2500002,-0.306458,2.537854,9.423578,9.764140,15.177113,96.885399
0.2550049,-0.294487,2.547431,9.325416,9.671582,15.375712,96.594208
0.2599794,-0.292093,2.549825,9.296685,9.644443,15.433014,96.534973
0.2649843,-0.296881,2.545036,9.263166,9.611014,15.462029,96.653542
0.2699891,-0.280122,2.549825,9.251195,9.600245,15.497613,96.269325
0.2749941,-0.258574,2.554613,9.220071,9.570926,15.561811,95.779701
0.2799990,-0.241814,2.535460,9.212888,9.558469,15.453816,95.447990
0.2850039,-0.246603,2.542642,9.203311,9.551270,15.513109,95.539612
0.2899781,-0.203507,2.521094,9.196129,9.537616,15.378326,94.615005
0.2949831,-0.215478,2.511518,9.205706,9.544588,15.313585,94.903740
0.2999879,-0.193930,2.525883,9.251195,9.591784,15.314283,94.390396
0.3049928,-0.158017,2.501941,9.299079,9.631072,15.087605,93.613884
0.3099977,-0.153229,2.501941,9.351752,9.681862,15.004752,93.504646
0.3150027,-0.138864,2.492364,9.392453,9.718505,14.883419,93.188972
0.3200074,-0.141258,2.494758,9.418790,9.744608,14.858003,93.240738
0.3249818,-0.165200,2.485181,9.435549,9.758739,14.786863,93.803085
0.3299868,-0.193930,2.497152,9.404425,9.732244,14.913358,94.440712
0.3349917,-0.244209,2.494758,9.385271,9.714256,14.953897,95.590797
0.3399965,-0.289698,2.504335,9.351752,9.685602,15.087080,96.598579
0.3450015,-0.304064,2.473210,9.346964,9.673414,14.927444,97.008934
0.3500061,-0.320823,2.466028,9.330204,9.655927,14.924275,97.412384
0.3549806,-0.335188,2.475605,9.337387,9.665804,14.978519,97.710762
0.3599855,-0.301669,2.487576,9.390059,9.718655,14.941584,96.914520
0.3649904,-0.253785,2.501941,9.428367,9.757981,14.934509,95.792007
0.3699953,-0.150835,2.530671,9.449914,9.784064,15.017331,93.410942
0.3750002,0.136469,2.645593,9.236830,9.609204,16.002813,87.047089
0.3800049,0.043096,2.645593,9.184157,9.557708,16.071632,89.066757
0.3849794,-0.009577,2.609680,9.260772,9.621456,15.737909,90.210258
0.3899843,-0.112527,2.542642,9.368511,9.708074,15.198647,92.534035
0.3949891,-0.227449,2.494758,9.478644,9.804093,14.804169,95.209305
0.3999941,-0.359130,2.466028,9.610326,9.928173,14.537095,98.285797
0.4049990,-0.454898,2.449268,9.696517,10.011408,14.408373,100.521561
0.4100039,-0.548272,2.449268,9.742006,10.060129,14.447231,102.617729
0.4149781,-0.567426,2.449268,9.761160,10.079739,14.443480,103.043694
0.4199831,-0.574608,2.422932,9.756371,10.069139,14.318007,103.341461
0.4249880,-0.524330,2.415750,9.746795,10.055386,14.231374,102.245911
0.4299928,-0.457293,2.382231,9.691729,9.990683,14.051770,100.866302
0.4349977,-0.409408,2.391808,9.639056,9.939807,14.130364,99.713249
0.4400024,-0.361524,2.396596,9.586384,9.888030,14.188678,98.578339
0.4450074,-0.323217,2.391808,9.504981,9.806624,14.247687,97.696053
0.4499818,-0.299275,2.406173,9.457097,9.762987,14.380348,97.089928
0.4549868,-0.268151,2.437297,9.454702,9.767483,14.538905,96.278412
0.4599916,-0.275333,2.444480,9.440337,9.755576,14.605199,96.426407
0.4649965,-0.284910,2.434903,9.476251,9.788220,14.504488,96.673874
0.4700015,-0.292093,2.451663,9.519346,9.834324,14.540224,96.794228
0.4750061,-0.347159,2.466028,9.519346,9.839704,14.660516,98.013252
0.4799806,-0.373495,2.487576,9.533711,9.859979,14.780573,98.538857
0.4849855,-0.390255,2.475605,9.548077,9.871509,14.707212,98.958397
0.4899904,-0.387861,2.468422,9.545682,9.867299,14.668813,98.929817
0.4949953,-0.375890,2.489970,9.533711,9.860674,14.795879,98.584641
0.5000002,-0.375890,2.489970,9.526528,9.853729,14.806547,98.584641
0.5050049,-0.349553,2.480393,9.504981,9.829507,14.763818,98.021675
0.5099794,-0.361524,2.485181,9.495404,9.821890,14.814349,98.276878
0.5149843,-0.361524,2.506729,9.473856,9.806545,14.966993,98.206703
0.5199891,-0.351948,2.501941,9.464279,9.795721,14.947040,98.007248
0.5249941,-0.371101,2.499547,9.442732,9.775001,14.981730,98.444870
0.5299990,-0.368707,2.509123,9.421184,9.756554,15.066191,98.359589
0.5350039,-0.339977,2.494758,9.387665,9.719447,15.013667,97.760262
0.5399781,-0.325611,2.497152,9.392453,9.724195,15.009039,97.429062
0.5449831,-0.304064,2.487576,9.402030,9.730296,14.925071,96.968864
0.5499879,-0.284910,2.470816,9.425972,9.748592,14.781470,96.577728
0.5549928,-0.280122,2.477999,9.418790,9.743334,14.829741,96.449532
0.5599977,-0.251391,2.473210,9.423578,9.745963,14.778043,95.803932
0.5650024,-0.095768,2.434903,9.550470,9.856441,14.313547,92.252357
0.5700073,0.040701,2.408567,9.607931,9.905312,14.075128,89.031876
0.5749818,-0.074220,2.542642,9.574412,9.906559,14.878605,91.672005
0.5799868,-0.275333,2.597709,9.550470,9.901282,15.297478,96.050232
0.5849916,-0.387861,2.609680,9.526528,9.885120,15.479915,98.453636
0.5899965,-0.464475,2.528277,9.459491,9.802545,15.202815,100.409851
0.5950015,-0.438139,2.454057,9.387665,9.713013,14.871488,100.122734
0.6000061,-0.409408,2.403779,9.373300,9.685273,14.581872,99.665794
0.6049806,-0.392649,2.408567,9.366117,9.678819,14.603858,99.259018
0.6099855,-0.380678,2.437297,9.370906,9.690161,14.748251,98.877228
0.6149904,-0.313640,2.473210,9.387665,9.713053,14.872379,97.227394
0.6199953,-0.270545,2.477999,9.423578,9.747692,14.816526,96.230804
0.6250002,-0.246603,2.482787,9.457097,9.780682,14.779222,95.672295
0.6300049,-0.203507,2.497152,9.514558,9.838902,14.752584,94.659065
0.6349794,-0.227449,2.521094,9.569624,9.898755,14.816393,95.155182
0.6399843,-0.265756,2.482787,9.579201,9.899290,14.609938,96.109650
0.6449893,-0.296881,2.470816,9.574412,9.892545,14.569958,96.851532
0.6499940,-0.313640,2.466028,9.591172,9.908091,14.530509,97.248215
0.6549990,-0.332794,2.458845,9.605537,9.920837,14.483802,97.707901
0.6600039,-0.373495,2.461239,9.629479,9.946058,14.494790,98.628853
0.6649781,-0.399832,2.470816,9.617508,9.937870,14.587649,99.192017
0.6699830,-0.383072,2.473210,9.619903,9.940123,14.582726,98.804504
0.6749879,-0.368707,2.477999,9.615114,9.936138,14.604061,98.463081
0.6799928,-0.356736,2.470816,9.581595,9.901473,14.603465,98.215584
0.6849977,-0.323217,2.501941,9.538500,9.866467,14.814336,97.361076
0.6900024,-0.328006,2.489970,9.514558,9.840445,14.786636,97.504410
0.6950073,-0.313640,2.477999,9.447520,9.772128,14.809219,97.213570
0.6999818,-0.299275,2.466028,9.392453,9.715402,14.814403,96.919533
0.7049867,-0.292093,2.461239,9.361329,9.683879,14.829421,96.768036
0.7099916,-0.284910,2.480393,9.334992,9.663105,14.973643,96.552551
0.7149965,-0.280122,2.458845,9.332599,9.655143,14.851461,96.499344
0.7200015,-0.304064,2.456451,9.334992,9.657572,14.850410,97.056274
0.7250064,-0.287304,2.449268,9.344569,9.664494,14.783491,96.690338
0.7299806,-0.306458,2.461239,9.363723,9.686636,14.835691,97.097572
0.7349855,-0.284910,2.451663,9.414001,9.732176,14.691142,96.628662
